ID	DistanceGroup
375_CC_PLW_RUS_F	D7
387_CP_MBW_RUS_F	CP
389_CC_ACW_RUS_F	D10
392_CC_UNK_RUS_M	D8
393_CC_UNK_RUS_F	D11
395_CC_UNK_RUS_M	D10
396_CC_UNK_RUS_M	D1
397_CC_UNK_RUS_M	D1
398_CC_UNK_RUS_M	D1
399_CC_UNK_RUS_M	D1
408_CC_TBW_RUS_F	D14
410_CC_GRW_HUN_F	D4
411_CC_GRW_HUN_F	D4
412_CC_GRW_HUN_F	D4
413_CC_GRW_HUN_F	D4
414_CC_GRW_HUN_F	D4
415_CC_GRW_HUN_F	D4
416_CC_GRW_HUN_F	D4
417_CC_GRW_HUN_F	D4
418_CC_GRW_HUN_F	D4
419_CC_GRW_HUN_F	D4
420_CC_GRW_HUN_F	D4
422_CC_GRW_HUN_F	D4
423_CC_GRW_HUN_F	D4
424_CC_GRW_HUN_F	D4
426_CC_GRW_HUN_F	D4
427_CC_GRW_HUN_F	D4
428_CC_GRW_HUN_F	D4
429_CC_GRW_HUN_F	D4
430_CC_GRW_HUN_F	D4
